,time,ctx,pollingcause,cacheage,matchlevel,carrierMktcarrier,office,OTA,Country,classes,England,ROW,US
20425,22/04/2016 19:25,1,1,6,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20426,22/04/2016 19:30,1,18,133,0,1,LAX,PC310V,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20427,22/04/2016 20:02,1,1,32,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20428,22/04/2016 20:03,1,1,38,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20429,22/04/2016 20:11,1,1,8,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20430,22/04/2016 20:19,1,1,17,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20431,22/04/2016 20:26,1,1,15,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20432,22/04/2016 20:53,1,1,34,0,1,SEA,EX37BA,US,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,0,0,1
20433,22/04/2016 20:58,1,1,32,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20434,22/04/2016 21:01,1,1,3,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20435,22/04/2016 21:13,1,1,11,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20436,22/04/2016 21:16,1,1,3,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20437,22/04/2016 21:19,1,1,3,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
20438,22/04/2016 21:19,1,1,3,0,1,LON,EX37BA,England,J9C9D9I9Z9W9S9H9K9Y9B9R9L9U9M9E9Q9X9V9N9O9,1,0,0
